Name,Source type,Genre,Production method,Is part of a franchise?,Production budget (in USD),Month,Year,Release day revenue,Number of theaters on release day,Tomatometer,Metacritic
Avatar,Original Screenplay,Action,Animation/Live Action,True,425000000,12,2009,26752099,3452,0.82,0.83
Pirates of the Caribbean: On Stranger Tides,Based on Theme Park Ride,Adventure,Live Action,True,410600000,5,2011,34860549,4155,0.33,0.45
Avengers: Age of Ultron,Based on Comic/Graphic Novel,Action,Animation/Live Action,True,330600000,5,2015,84424532,4276,0.75,0.66
Star Wars Ep. VIII: The Last Jedi,Original Screenplay,Adventure,Live Action,True,317000000,12,2017,104684491,4232,-1,-1
Star Wars Ep. VII: The Force Awakens,Original Screenplay,Adventure,Animation/Live Action,True,306000000,12,2015,119119282,4134,-1,-1
Avengers: Infinity War,Based on Comic/Graphic Novel,Action,Animation/Live Action,True,300000000,4,2018,106334939,4474,0.85,0.68
Pirates of the Caribbean: At Worldâs End,Based on Theme Park Ride,Adventure,Live Action,True,300000000,5,2007,13240044,3100,0.44,0.5
Justice League,Based on Comic/Graphic Novel,Action,Live Action,True,300000000,11,2017,38471202,4051,-1,0.45
Spectre,Based on Fiction Book/Short Story,Action,Live Action,True,300000000,11,2015,27434579,3929,-1,0.6
The Dark Knight Rises,Based on Comic/Graphic Novel,Action,Live Action,True,275000000,7,2012,75754897,4404,0.87,0.78
The Lone Ranger,Based on TV,Western,Live Action,False,275000000,7,2013,9651118,3904,0.31,0.37
John Carter,Based on Fiction Book/Short Story,Adventure,Live Action,False,275000000,3,2012,9811935,3749,0.52,0.51
Tangled,Based on Folk Tale/Legend/Fairytale,Musical,Digital Animation,False,260000000,11,2010,11869194,3603,0.89,0.71
Spider-Man 3,Based on Comic/Graphic Novel,Adventure,Live Action,True,258000000,5,2007,59841919,4252,0.63,0.59
Captain America: Civil War,Based on Comic/Graphic Novel,Action,Live Action,True,250000000,5,2016,75502161,4226,0.91,0.75
Batman v Superman: Dawn of Justice,Based on Comic/Graphic Novel,Action,Live Action,True,250000000,3,2016,81558505,4242,0.28,0.44
The Hobbit: An Unexpected Journey,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,True,250000000,12,2012,37125547,4045,0.65,0.58
Harry Potter and the Half-Blood Prince,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,True,250000000,7,2009,58175412,4275,-1,0.78
The Hobbit: The Desolation of Smaug,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,True,250000000,12,2013,31190587,3903,0.74,0.66
The Hobbit: The Battle of the Five Armies,Based on Fiction Book/Short Story,Adventure,Live Action,True,250000000,12,2014,24452117,3875,0.59,0.59
The Fate of the Furious,Original Screenplay,Action,Live Action,True,250000000,4,2017,45695015,4310,0.68,0.56
Solo: A Star Wars Story,Spin-Off,Adventure,Live Action,True,250000000,5,2018,35375125,4381,0.7,0.62
Superman Returns,Based on Comic/Graphic Novel,Adventure,Live Action,True,232000000,6,2006,21037277,3915,0.75,0.72
Pirates of the Caribbean: Dead Men Tell No Tales,Based on Theme Park Ride,Adventure,Live Action,True,230000000,5,2017,23567874,4276,0.29,0.39
Quantum of Solace,Based on Fiction Book/Short Story,Action,Live Action,True,230000000,11,2008,27007026,3451,0.65,0.58
The Avengers,Based on Comic/Graphic Novel,Action,Animation/Live Action,True,225000000,5,2012,80813985,4349,-1,0.12
Pirates of the Caribbean: Dead Manâs Chest,Based on Theme Park Ride,Adventure,Live Action,True,225000000,7,2006,55830600,4133,0.53,0.53
Man of Steel,Based on Comic/Graphic Novel,Action,Live Action,True,225000000,6,2013,12062124,1000,-1,0.55
The Chronicles of Narnia: Prince Caspian,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,True,225000000,5,2008,19397743,3929,-1,0.62
The Amazing Spider-Man,Based on Comic/Graphic Novel,Adventure,Live Action,True,220000000,7,2012,850000,400,-1,0.66
Battleship,Based on Game,Action,Live Action,False,220000000,5,2012,8782225,3690,0.34,0.41
Transformers: The Last Knight,Based on TV,Action,Animation/Live Action,True,217000000,6,2017,15658535,4069,0.15,0.27
Jurassic World,Based on Fiction Book/Short Story,Action,Live Action,True,215000000,6,2015,81953950,4274,0.72,0.59
Men in Black 3,Based on Comic/Graphic Novel,Adventure,Animation/Live Action,True,215000000,5,2012,17664409,4248,-1,-1
Transformers: Revenge of the Fallen,Based on TV,Action,Animation/Live Action,True,210000000,6,2009,62016476,4234,0.19,0.35
Transformers: Age of Extinction,Based on TV,Action,Animation/Live Action,True,210000000,6,2014,41868135,4233,0.18,0.32
